objectid,location_name,location_address,address_line__2,city,state,zip_code,county,regionsize,matchscore,latitude,longitude,matchtype,location_type,accepts_snap,organization,co_sponsor,type,frequency,day,times,year_round_or_dates,description,eligibility_requirements,eligibility_requirement,no_photo_id_required,no_registration_required,restricted_access_only_members_o,age_restrictions_for_children_or,age_restrictions_for_seniors_onl,income_maximum_for_eligibility,delivery_available,prepared_meals,grocery_items,fresh_produce,languages_spoken_other_than_engl,other_services_provided_diapers,other_services_provided_baby_for,other_services_provided_financia,other_services_provided_clothing,other_services_provided,metro,bus,store_type,loctype_fresh
2888,7-Eleven Inc F 39737A,4154 S 4 Mile Run Dr,,Arlington,VA,22206,ARLINGTON,5315049,60,38.84104538,-77.09244537,Relaxed;Soundex,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
4931,Lideta Market,1607 S Glebe Rd,,Arlington,VA,22204,ARLINGTON,498.6814,95.325447,38.89058685,-77.1190033,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
6699,Asni Inc,1045 S Edgewood St,,Arlington,VA,22204,ARLINGTON,2855.9011,100,38.86225891,-77.08618164,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
7070,Ft Myers Commissary 2518,523 Carpenter Rd,,Fort Myer,VA,22211,ARLINGTON,4533965.5,60,38.88694763,-77.07820892,Relaxed;Soundex,SNAP-retailer,1,,,Misc,,,,,,,,,,,,,,,,,0,,,,,,,,,Misc,SNAP-retailer without fresh produce
9530,Arlington Mill Farmers Market,909 S Dinwiddie St,,Arlington,VA,22204,ARLINGTON,2260.2388,100,38.85667038,-77.11264038,Exact,SNAP-retailer,1,,,Farmer's market,,,,,,,,,,,,,,,,,1,,,,,,,,,Farmer's market,SNAP-retailer with fresh produce
10983,Target Store 3210,1500 Wilson Blvd,,Rosslyn,VA,22209,ARLINGTON,4595.1108,96,38.89434814,-77.07435608,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
11778,Bangla Bazar,5149 Lee Hwy,,Arlington,VA,22207,ARLINGTON,3334.8015,100,38.89642715,-77.1322403,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
12340,7-Eleven 34082A,3503 Fairfax Dr,,Arlington,VA,22201,ARLINGTON,2124.6201,100,38.88421249,-77.10166931,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
14024,Giant Food 748,2901-11 S Glebe Rd,,Arlington,VA,22206,ARLINGTON,14538.319,96.633133,38.84539795,-77.06891632,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
14025,Giant Food 771,3115 Lee Hwy,,Arlington,VA,22201,ARLINGTON,16184.268,100,38.8966217,-77.09631348,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
14027,Safeway  764,2500 N Harrison St,,Arlington,VA,22207,ARLINGTON,9272.666,100,38.89685059,-77.13941956,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
14028,Safeway  1358,5101 Wilson Blvd,,Arlington,VA,22205,ARLINGTON,9480.2383,100,38.87805176,-77.12315369,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
15975,Arlington Grocery,2524 Columbia Pike,,Arlington,VA,22204,ARLINGTON,2117.2656,97.928993,38.86315155,-77.08432007,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
16460,Super Giant 0774,2501 9th Rd S,,Arlington,VA,22204,ARLINGTON,6433.0645,94.08284,38.86464691,-77.08460999,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
26484,Trader Joes 640,1109 N Highland St,,Arlington,VA,22201,ARLINGTON,2191.7957,100,38.88641739,-77.09477234,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
26615,Asia Halal Supermarket,5171 Lee Hwy,,Arlington,VA,22207,ARLINGTON,2746.7603,100,38.89642334,-77.13284302,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
31789,7-Eleven Inc F 27547A,50300 Lee Highway,,Arlington,VA,22207,ARLINGTON,16707555,60,38.90353012,-77.12976074,Relaxed;Soundex,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
38622,7-Eleven 34646B,1625 Wilson Blvd,,Arlington,VA,22209,ARLINGTON,594.62939,100,38.89434814,-77.07805634,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
39508,Brook Market,2522 Columbia Pike,,Arlington,VA,22204,ARLINGTON,2117.2656,97.928993,38.86315918,-77.08430481,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,0,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer without fresh produce
42019,El Latino & African Market 1,4611 Columbia Pike,,Arlington,VA,22204,ARLINGTON,897.84906,99,38.8575058,-77.10714722,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
45802,7-Eleven Inc F 10717A,1131 S George Mason Dr,,Arlington,VA,22204,ARLINGTON,623.35284,95.325447,38.88435745,-77.12522125,Relaxed,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
48638,Megamart Express,5001 Columbia Pike,,Arlington,VA,22204,ARLINGTON,1940.9834,100,38.85582352,-77.11262512,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
50869,"7-Eleven, Inc F 32966B",4223 Fairfax Dr,,Arlington,VA,22203,ARLINGTON,2150.6787,100,38.88261414,-77.11154175,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
51163,Columbia Pike Farmers Market,2820 Columbia Pike,,Arlington,VA,22204,ARLINGTON,4283.5166,99,38.86213303,-77.08659363,Relaxed,SNAP-retailer,1,,,Farmer's market,,,,,,,,,,,,,,,,,1,,,,,,,,,Farmer's market,SNAP-retailer with fresh produce
60582,Safeway  1048,1525 Wilson Blvd,,Arlington,VA,22209,ARLINGTON,6858.3232,100,38.89509583,-77.07531738,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
61378,Freshfarm Rosslyn Market,1201 Wilson Blvd,,Arlington,VA,22209,ARLINGTON,1523.7686,100,38.89517975,-77.07080841,Exact,SNAP-retailer,1,,,Farmer's market,,,,,,,,,,,,,,,,,1,,,,,,,,,Farmer's market,SNAP-retailer with fresh produce
61693,Glebe Market,300 N Glebe Rd,,Arlington,VA,22203,ARLINGTON,1888.3835,100,38.8738327,-77.10520172,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
61695,Safeway  4007,3713 Lee Hwy,,Arlington,VA,22207,ARLINGTON,12345.32,100,38.8966713,-77.10540009,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
66806,Whole Foods Market 10042,2700 Wilson Blvd,,Arlington,VA,22201,ARLINGTON,1236.9257,100,38.88924026,-77.09089661,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
88091,7-Eleven Inc F 27672A,4970 Columbia Pike,,Arlington,VA,22204,ARLINGTON,1112.9384,99,38.85583878,-77.11151123,Relaxed,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
90453,Freshfarm Arlington Courthouse Farmers Market N/A,1425 N Courthouse Rd,,Arlington,VA,22201,ARLINGTON,6058556.5,60,38.88734436,-77.09883881,Relaxed;Soundex,SNAP-retailer,1,,,Farmer's market,,,,,,,,,,,,,,,,,1,,,,,,,,,Farmer's market,SNAP-retailer with fresh produce
90771,7-Eleven Inc F 23242A,3003 Columbia Pike,,Arlington,VA,22204,ARLINGTON,3513.6831,99,38.86259842,-77.08841705,Relaxed,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
90928,7-Eleven Inc F 28511A,426 23rd St S,,Arlington,VA,22202,ARLINGTON,1762.7319,100,38.85329819,-77.05282593,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
91317,7-Eleven Inc F 22343A,4689 King St,,Arlington,VA,22206,ARLINGTON,2684.7527,100,38.84283066,-77.10895538,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
94038,7-Eleven 35372B 35372B,2906 N Sycamore St,,Arlington,VA,22207,ARLINGTON,3570.7473,100,38.8990593,-77.1569519,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
95444,7-Eleven Inc F 29167B,2311 2nd St S,,Arlington,VA,22204,ARLINGTON,1367.4899,100,38.87163162,-77.08428192,Exact,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
95502,7-Eleven Inc F 18432A,3600 Columbia Pike,,Arlington,VA,22204,ARLINGTON,3577.3218,97.928993,38.86068344,-77.09391022,Relaxed,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
96097,"Sk Dominion Market, Llc",1201 S Courthouse Rd,,Arlington,VA,22204,ARLINGTON,27742.932,99,38.86230469,-77.07854462,Relaxed,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
97864,Harris Teeter 235,4250 Campbell Ave,,Arlington,VA,22206,ARLINGTON,3090.1001,100,38.84158707,-77.08991241,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
101365,7-Eleven Inc F 10743B,2815 S Wakefield St,,Arlington,VA,22206,ARLINGTON,1255.7085,99,38.84409332,-77.09778595,Relaxed,SNAP-retailer,1,,,Convenience store/Other retail,,,,,,,,,,,,,,,,,0,,,,,,,,,Convenience store/Other retail,SNAP-retailer without fresh produce
108652,Harris Teeter 83,900 Army Navy Dr,,Arlington,VA,22202,ARLINGTON,10262343,60,38.86133957,-77.05673981,Relaxed;Soundex,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
