objectid,location_name,location_address,address_line__2,city,state,zip_code,county,regionsize,matchscore,latitude,longitude,matchtype,location_type,accepts_snap,organization,co_sponsor,type,frequency,day,times,year_round_or_dates,description,eligibility_requirements,eligibility_requirement,no_photo_id_required,no_registration_required,restricted_access_only_members_o,age_restrictions_for_children_or,age_restrictions_for_seniors_onl,income_maximum_for_eligibility,delivery_available,prepared_meals,grocery_items,fresh_produce,languages_spoken_other_than_engl,other_services_provided_diapers,other_services_provided_baby_for,other_services_provided_financia,other_services_provided_clothing,other_services_provided,metro,bus,store_type,loctype_fresh
303,A Plus 40056H,11854 Sunrise Valley Dr,,Reston,VA,20191,FAIRFAX,7610.3677,100,38.9471435546875,-77.357177734375,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
2888,7-Eleven Inc F 39737A,4154 S 4 Mile Run Dr,,Arlington,VA,22206,ARLINGTON,5315049,60,38.84104537963867,-77.09244537353516,Relaxed;Soundex,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,0,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer without fresh produce
3186,Aplus 40046H,5135 Westfields Blvd,,Centreville,VA,20120,FAIRFAX,6952.6538,100,38.86742782592773,-77.44841003417969,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
3466,Super A Market,2800 Graham Rd,,Falls Church,VA,22042,FAIRFAX,7049.9434,98.99408,38.87571716308594,-77.19123840332031,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
3986,Naz Foods Halal Meat & Grocery,4231 Markham St,Ste C,Annandale,VA,22003,FAIRFAX,12324.294,100,38.83270645141602,-77.19774627685547,Exact,SNAP-retailer,1,,,Misc,,,,,,,,,,,,,,,,,,,,,,,,,,Misc,
4318,7-Eleven Inc F 10794B,9402 Richmond Hwy,,Lorton,VA,22079,FAIRFAX,1182.2526,96,38.70230865478516,-77.20954895019531,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,0,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer without fresh produce
4776,7-Eleven Inc F 10657A,1111 Elden St,,Herndon,VA,20170,FAIRFAX,1302.6791,96,38.96487808227539,-77.39713287353516,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,0,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer without fresh produce
4922,Centro Market,2930 Patrick Henry Dr,,Falls Church,VA,22044,FAIRFAX,23985.146,96,38.8698844909668,-77.14713287353516,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
4931,Lideta Market,1607 S Glebe Rd,,Arlington,VA,22204,ARLINGTON,498.6814,95.325447,38.89058685302734,-77.11900329589844,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
5939,Walmart Supercenter 5936,1500 Conerside Blvd,,Vienna,VA,22182,FAIRFAX,30597138,60,38.9284782409668,-77.26148223876953,Relaxed;Soundex,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
6699,Asni Inc,1045 S Edgewood St,,Arlington,VA,22204,ARLINGTON,2855.9011,100,38.86225891113281,-77.086181640625,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
6878,Community Foodworks Huntington Farmers Market,5919 N Kings Hwy,,Alexandria,VA,22303,FAIRFAX,2276.5518,98.99408,38.78907012939453,-77.076416015625,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
6906,Reston Town Center Exxon 20305,11808 Baron Cameron Ave,,Reston,VA,20190,FAIRFAX,4623.6499,100,38.96697998046875,-77.35630798339844,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,0,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
7048,Giant Food 763,359 Maple Ave E,,Vienna,VA,22180,FAIRFAX,5492.7407,100,38.90623092651367,-77.25922393798828,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
7050,Giant Food 780,3480 S Jefferson St,,Falls Church,VA,22041,FAIRFAX,1233.4386,98.99408,38.85183334350586,-77.11935424804688,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
7051,Giant Food 756,8320 Old Keene Mill Rd,,Springfield,VA,22152,FAIRFAX,8045.1655,99.899406,38.77998733520508,-77.23006439208984,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
7052,Giant Food 745,13043 Lee Jackson Memorial Hwy,,Fairfax,VA,22033,FAIRFAX,6004.603,98.99408,38.88071823120117,-77.39723205566406,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
7054,Safeway  1283,8646 Richmond Hwy,,Alexandria,VA,22309,FAIRFAX,3925.7339,98.99408,38.72258758544922,-77.12123870849609,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
7055,Safeway  878,7900 Fort Hunt Rd,,Alexandria,VA,22308,FAIRFAX,7995.0781,96,38.74359893798828,-77.05752563476563,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
7056,Safeway  4933,6244 Old Dominion Dr,,McLean,VA,22101,FAIRFAX,19844.021,100,38.92002868652344,-77.15086364746094,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
7062,Safeway  1285,6130 Rose Hill Dr,,Alexandria,VA,22310,FAIRFAX,2343.9382,98.99408,38.78460311889648,-77.12096405029297,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
7064,Safeway  1588,7414 Little River Tpke,,Annandale,VA,22003,FAIRFAX,7516.251,100,38.83123016357422,-77.20039367675781,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
