objectid,location_name,location_address,address_line__2,city,state,zip_code,county,regionsize,matchscore,latitude,longitude,matchtype,location_type,accepts_snap,organization,co_sponsor,type,frequency,day,times,year_round_or_dates,description,eligibility_requirements,eligibility_requirement,no_photo_id_required,no_registration_required,restricted_access_only_members_o,age_restrictions_for_children_or,age_restrictions_for_seniors_onl,income_maximum_for_eligibility,delivery_available,prepared_meals,grocery_items,fresh_produce,languages_spoken_other_than_engl,other_services_provided_diapers,other_services_provided_baby_for,other_services_provided_financia,other_services_provided_clothing,other_services_provided,metro,bus,store_type,loctype_fresh,age_elig_req,elig_type
18,Abingdon Elementary School,3035 South Abingdon St.,,Arlington,VA,22206,ARLINGTON,43251.676,99,38.839653,-77.096222,Relaxed,Charitable food-site,0,Arlington Public Schools,NA,School meals,3 times weekly,"Mon/Wed/Fri, July 7 until school starts",11 AM - 12 PM,July 7 until school starts,"Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.",Child under 18,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,"ART 72, 77; Metrobus 7A/F/Y, 22A",School,Charitable food-site with fresh produce,0,Open to children only
19,Arlington Career Center,816 S. Walter Reed Dr.,,Arlington,VA,22204,ARLINGTON,4240.4282,100,38.865494,-77.087738,Exact,Charitable food-site,0,Arlington Public Schools,NA,School meals,3 times weekly,"Mon/Wed/Fri, July 7 until school starts",11 AM - 12 PM,July 7 until school starts,"Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.",Child under 18,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,"ART 41, 42, 45, 77; Metrobus 10B, 16A/C/E/G/H, 23A,",Misc,Charitable food-site with fresh produce,0,Open to children only
20,Ashlawn Elementary School,5950 8th Rd. N.,,Arlington,VA,22205,ARLINGTON,7932.7231,100,38.873436,-77.135887,Exact,Charitable food-site,0,Arlington Public Schools,NA,School meals,3 times weekly,"Mon/Wed/Fri, July 7 until school starts",11 AM - 12 PM,July 7 until school starts,"Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.",Child under 18,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,Metrobus 1A,School,Charitable food-site with fresh produce,0,Open to children only
21,Barcroft Elementary School,625 S. Wakefield St.,,Arlington,VA,22204,ARLINGTON,20742.229,99,38.861908,-77.107445,Relaxed,Charitable food-site,0,Arlington Public Schools,NA,School meals,3 times weekly,"Mon/Wed/Fri, July 7 until school starts",11 AM - 12 PM,July 7 until school starts,"Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.",Child under 18,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,"ART 41,72; Metrobus 16A/C/E/G/H, 22A",School,Charitable food-site with fresh produce,0,Open to children only
22,Barrett Elementary School,4401 N. Henderson Rd.,,Arlington,VA,22203,ARLINGTON,19912.406,100,38.87302,-77.112411,Exact,Charitable food-site,0,Arlington Public Schools,NA,School meals,3 times weekly,"Mon/Wed/Fri, July 7 until school starts",11 AM - 12 PM,July 7 until school starts,"Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.",Child under 18,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,"ART 41; Metrobus 4B, 10B, 22A, 22A/B,23T, 25B",School,Charitable food-site with fresh produce,0,Open to children only
23,Campbell Elementary School,737 S. Carlin Springs Rd.,,Arlington,VA,22204,ARLINGTON,34321.418,99,38.85836,-77.125496,Relaxed,Charitable food-site,0,Arlington Public Schools,NA,School meals,3 times weekly,"Mon/Wed/Fri, July 7 until school starts",11 AM - 12 PM,July 7 until school starts,"Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.",Child under 18,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,"ART 41, 45; Metrobus 16A/C/E/G, 25B, 28A",School,Charitable food-site with fresh produce,0,Open to children only
24,Dr. Charles R. Drew Elementary School,3500 South 23rd St.,,Arlington,VA,22206,ARLINGTON,2234.0547,99.349113,38.848999,-77.085747,Relaxed,Charitable food-site,0,Arlington Public Schools,NA,School meals,3 times weekly,"Mon/Wed/Fri, July 7 until school starts",11 AM - 12 PM,July 7 until school starts,"Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.",Child under 18,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,"ART 84, 87; Metrobus 10B, 23 A/B/T",School,Charitable food-site with fresh produce,0,Open to children only
25,Glebe Elementary School,1770 N. Glebe Rd.,,Arlington,VA,22207,ARLINGTON,28346.348,100,38.89238,-77.121429,Exact,Charitable food-site,0,Arlington Public Schools,NA,School meals,3 times weekly,"Mon/Wed/Fri, July 7 until school starts",11 AM - 12 PM,July 7 until school starts,"Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.",Child under 18,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,"ART 52, 55, 72; Metrobus 23A/T",School,Charitable food-site with fresh produce,0,Open to children only
26,Gunston Middle School,2700 S. Lang St.,,Arlington,VA,22206,ARLINGTON,79579.867,99,38.847958,-77.068733,Relaxed,Charitable food-site,0,Arlington Public Schools,NA,School meals,3 times weekly,"Mon/Wed/Fri, July 7 until school starts",11 AM - 12 PM,July 7 until school starts,"Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.",Child under 18,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,"ART 87; Metrobus 10A/B, 23A/B",School,Charitable food-site with fresh produce,0,Open to children only
27,Hoffman-Boston Elementary School,1415 S. Queen St.,,Arlington,VA,22204,ARLINGTON,1718.7273,100,38.861538,-77.072533,Exact,Charitable food-site,0,Arlington Public Schools,NA,School meals,3 times weekly,"Mon/Wed/Fri, July 7 until school starts",11 AM - 12 PM,July 7 until school starts,"Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.",Child under 18,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,"ART 42; Metrobus 16A/C/E/G,",School,Charitable food-site with fresh produce,0,Open to children only
