objectid,location_name,location_address,address_line__2,city,state,zip_code,county,regionsize,matchscore,latitude,longitude,matchtype,location_type,accepts_snap,organization,co_sponsor,type,frequency,day,times,year_round_or_dates,description,eligibility_requirements,eligibility_requirement,no_photo_id_required,no_registration_required,restricted_access_only_members_o,age_restrictions_for_children_or,age_restrictions_for_seniors_onl,income_maximum_for_eligibility,delivery_available,prepared_meals,grocery_items,fresh_produce,languages_spoken_other_than_engl,other_services_provided_diapers,other_services_provided_baby_for,other_services_provided_financia,other_services_provided_clothing,other_services_provided,metro,bus,store_type,loctype_fresh,age_elig_req,elig_type
1,Afac Headquarters,2708 S. Nelson St,,Arlington,VA,22206,ARLINGTON,527.18018,94.857986,38.843571,-77.089371,Relaxed,Charitable food-site,0,AFAC,NA,Food pantry,Open Mon-Sat. Participants can visit once per week.,"Mon-Fri, Sat","9:30 AM - 2 PM, Sat 9-11 AM",Year-round,"Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from. Deliveries available to elderly, dis","Open to all Arlington residents. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from DHS, APS social worker, or other social service agency to visit weekly.",1,0,0,0,0,0,0,1,0,1,1,NA,0,0,0,0,0,NA,"ART 72, 75, 77; Metrobus 7, 22A,  23A",Misc,Charitable food-site with fresh produce,1,No age restriction
2,Assembly Of God Church,4501 N. Pershing Dr.,,Arlington,VA,22203,ARLINGTON,11843.679,100,38.869171,-77.111069,Exact,Charitable food-site,0,AFAC,NA,Food pantry,Weekly,"Fridays until July 30, 2021",10:30 AM - 12 PM,Year-round,"Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from.","Open to all Arlington residents. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from DHS, APS social worker, or other social service agency to visit weekly.",1,0,0,0,0,0,0,0,0,1,1,NA,0,0,0,0,0,NA,"ART 41, 72; Metrobus 4B, 22A",Church/Mosque/Community Center,Charitable food-site with fresh produce,1,No age restriction
3,Clarendon United Methodist Church,606 N. Irving St,,Arlington,VA,22201,ARLINGTON,6618.9507,100,38.880421,-77.097092,Exact,Charitable food-site,0,AFAC,NA,Food pantry,Weekly,Saturday,8:30 - 10:30 AM,Year-round,"Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from.","Open to all Arlington residents. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from DHS, APS social worker, or other social service agency to visit weekly.",1,0,0,0,0,0,0,0,0,1,1,NA,0,0,0,0,0,"Clarendon, Virginia Square","ART 41, 42, 77; Metrobus 4B, 38B",Church/Mosque/Community Center,Charitable food-site with fresh produce,1,No age restriction
9,Arlington Mill Community Center (Cop),909 S Dinwiddie St,,Arlington,VA,22204,ARLINGTON,2260.2388,100,38.85667,-77.11264,Exact,Charitable food-site,0,AFAC,NA,Food pantry,Weekly,Monday,9:30 - 11:30 AM,Year-round,"Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from.  Diapers provided at this location,",Open to all residents of the Arlington Mill and Barcroft neighborhoods. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from DHS Community Outreach Program to visit this location weekly.,1,0,0,0,0,0,0,0,0,1,1,NA,1,0,0,0,0,NA,"ART 41, 45, 75; Metrobus 16A/C/E/G/H, 22A",Misc,Charitable food-site with fresh produce,1,No age restriction
10,Columbia Hills & Columbia Grove Apartments (Apah),1010 S. Frederick St.,,Arlington,VA,22204,ARLINGTON,5544.2275,100,38.853779,-77.115067,Exact,Charitable food-site,0,AFAC,NA,Food pantry,Weekly,Tuesday,1:30 - 3:30 PM,Year-round,"Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from.",Open to APAH residents who live at Columbia Hills or Columbia Grove properties. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from APAH to visit this location weekly.,1,0,0,1,0,0,0,1,0,1,1,NA,0,0,0,0,0,NA,"ART 41, 45, 75; Metrobus 16A/C/E/G/H, 22A, 25B, 28A",Apartments,Charitable food-site with fresh produce,1,No age restriction
11,The Apex Apartments (Ahc),2910 S. Glebe Rd,,Arlington,VA,22206,ARLINGTON,8306.0059,100,38.844696,-77.069435,Exact,Charitable food-site,0,AFAC,NA,Food pantry,Weekly,Wednesday,9 - 11 AM,Year-round,"Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from.",Open to AHC residents who live at The Apex. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from AHC to visit this location weekly.,1,0,0,1,0,0,0,0,0,1,1,NA,0,0,0,0,0,NA,"ART 87; Metrobus 10A/B, 23A",Apartments,Charitable food-site with fresh produce,1,No age restriction
12,Whitefield Csc (Wesley Housing),106 N. Thomas St.,,Arlington,VA,22203,ARLINGTON,7877.7622,100,38.871006,-77.104752,Exact,Charitable food-site,0,AFAC,NA,Food pantry,Weekly,Wednesday,10 AM - 12 PM,Year-round,"Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from.",Open to Wesley Housing residents who live at Whitefield or Colonial Village apartments. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from Wesley Housing to visit this location weekly.,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,"ART 41,72; Metrobus 4B, 10B, 22A",Apartments,Charitable food-site with fresh produce,1,No age restriction
13,Woodbury Park & The Frederick Apartments (Ahc),2306 11th St N,,Arlington,VA,22201,ARLINGTON,20378.186,100,38.884693,-77.087158,Exact,Charitable food-site,0,AFAC,NA,Food pantry,Weekly,Thursday,9:30 - 11:30 AM,Year-round,"Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from.",Open to AHC residents who live at Woodbury Park & The Frederick apartments. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from AHC to visit this location weekly.,1,0,0,1,0,0,0,0,0,1,1,NA,0,0,0,0,0,"Clarendon, Courthouse","ART 41, 42, 45,77; Metrobus 4B, 38B",Apartments,Charitable food-site with fresh produce,1,No age restriction
14,Marbella Apartments (Apah),1301 N. Queen St,,Arlington,VA,22209,ARLINGTON,2062.5278,100,38.889278,-77.077286,Exact,Charitable food-site,0,AFAC,NA,Food pantry,Weekly,Thursday,1:30 - 3:30 PM,Year-round,"Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from.","Open to APAH residents who live at Marbella, Courthouse Crossing, and Parc Rosslyn Apartments. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from APAH to visit this location weekly.",1,0,0,1,0,0,0,1,0,1,1,NA,0,0,0,0,0,Courthouse,"ART 41, 45, 47; Metrobus 4B, 38B",Apartments,Charitable food-site with fresh produce,1,No age restriction
15,Gates Of Ballston Apartments (Ahc/Cop),4108 4th St N,,Arlington,VA,22203,ARLINGTON,7054.6279,100,38.875378,-77.107491,Exact,Charitable food-site,0,AFAC,NA,Food pantry,Weekly,Friday,11:30 AM - 2:30 PM,Year-round,"Supplemental groceries including protien, milk, eggs, fresh produce, and dry goods. Participants can visit this location once a week with a referral. Participants may only choose one AFAC location to pick up food from.",Open to all residents of the Buckingham. 1st time visitors must bring a photo ID and proof of address. Obtain a referral from DHS Community Outreach Program or AHC Resident Services to visit this location weekly.,1,0,0,0,0,0,0,0,0,1,1,NA,0,0,0,0,0,NA,"ART 41, 42, 72, 75; Metrobus 1A, 4B, 10B, 22A, 23A, 25B",Apartments,Charitable food-site with fresh produce,1,No age restriction
