geography,GEOID,tractce,state,percent_food_insecure,number_food_insecure,total_population,unemployment_rate,percent_poor,percent_black,percent_hispanic,median_income,percent_homeowners,percent_disabled,missing_values,small_sample_100,small_sample_500,high_military,low_own_high_income,high_disab,high_college
"Census Tract 1001, Arlington County, Virginia",51013100100,100100,VA,0.036,190,"5,296",0.015,0.011,0.008,0.11,"203,854",0.948,0.053,0,0,0,0,0,0,0
"Census Tract 1002, Arlington County, Virginia",51013100200,100200,VA,0.031,200,"6,600",0.011,0.018,0.01,0.07,"233,958",0.934,0.049,0,0,0,0,0,0,0
"Census Tract 1003, Arlington County, Virginia",51013100300,100300,VA,0.053,330,"6,255",0.039,0.015,0.025,0.074,"231,908",0.962,0.074,0,0,0,0,0,0,0
"Census Tract 1004, Arlington County, Virginia",51013100400,100400,VA,0.043,170,"3,918",0.022,0.029,0.028,0.073,"250,001",0.936,0.059,0,0,0,0,0,0,0
"Census Tract 1005, Arlington County, Virginia",51013100500,100500,VA,0.041,180,"4,522",0.023,0.02,0.038,0.041,"242,344",0.855,0.032,0,0,0,0,0,0,0
"Census Tract 1006, Arlington County, Virginia",51013100600,100600,VA,0.109,380,"3,467",0.015,0.051,0.039,0.144,"140,982",0.64,0.122,0,0,0,0,0,0,0
"Census Tract 1007, Arlington County, Virginia",51013100700,100700,VA,0.122,710,"5,831",0.015,0.097,0.017,0.136,"147,695",0.605,0.074,0,0,0,0,0,0,0
"Census Tract 1008, Arlington County, Virginia",51013100800,100800,VA,0.11,180,"1,617",0.015,0.062,0.345,0.109,"111,406",0.68,0.07,0,0,0,0,0,0,0
"Census Tract 1009, Arlington County, Virginia",51013100900,100900,VA,0.087,370,"4,195",0.028,0.036,0.065,0.072,"156,875",0.74,0.064,0,0,0,0,0,0,0
"Census Tract 1010, Arlington County, Virginia",51013101000,101000,VA,0.074,240,"3,308",0.028,0.012,0.073,0.094,"162,083",0.681,0.047,0,0,0,0,0,0,0
"Census Tract 1011, Arlington County, Virginia",51013101100,101100,VA,0.076,450,"5,934",0.02,0.027,0.039,0.043,"187,308",0.74,0.087,0,0,0,0,0,0,0
"Census Tract 1012, Arlington County, Virginia",51013101200,101200,VA,0.102,410,"4,037",0.022,0.071,0.034,0.211,"153,500",0.75,0.084,0,0,0,0,0,0,0
"Census Tract 1013, Arlington County, Virginia",51013101300,101300,VA,0.052,390,"7,411",0.024,0.022,0.023,0.169,"199,113",0.861,0.046,0,0,0,0,0,0,0
"Census Tract 1014.01, Arlington County, Virginia",51013101401,101401,VA,0.115,170,"1,454",0.019,0.04,0.106,0.043,"115,188",0.265,0.01,0,0,0,0,1,0,0
"Census Tract 1014.02, Arlington County, Virginia",51013101402,101402,VA,0.107,250,"2,362",0.01,0.071,0.025,0.086,"128,796",0.575,0.052,0,0,0,0,0,0,0
"Census Tract 1014.03, Arlington County, Virginia",51013101402,101402,VA,0.13,780,"6,002",0.022,0.032,0.06,0.075,"115,721",0.212,0.071,0,0,0,0,1,0,0
