ObjectId,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,AUTO_UNIQUE_ID_2021-09-27_fhernandez_UI_SNAP_Locations,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
303,A Plus 40056H,11854 Sunrise Valley Dr,,Reston,VA,20191,3302,FAIRFAX,1,USCGeocoder,31.2451,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,7610.367798,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.94714198,-77.35718119,Exact
2888,7-Eleven Inc F 39737A,4154 S 4 Mile Run Dr,,Arlington,VA,22206,1188,ARLINGTON,2,USCGeocoder,250.0125,1,4.1,,,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,5315048.907,ArealInterpolationGeometricCentroid,USPSZip,60,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,1,38.841046,-77.092448,Relaxed;Soundex
3186,Aplus 40046H,5135 Westfields Blvd,,Centreville,VA,20120,4367,FAIRFAX,3,USCGeocoder,46.8769,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,6952.653775,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.86742681,-77.44841362,Exact
3466,Super A Market,2800 Graham Rd,,Falls Church,VA,22042,1638,FAIRFAX,4,USCGeocoder,31.2491,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,7049.943576,LinearInterpolationAddressRange,StreetSegment,98.99408284,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.87571721,-77.19124036,Relaxed
3986,Naz Foods Halal Meat & Grocery,4231 Markham St,Ste C,Annandale,VA,22003,3023,FAIRFAX,5,USCGeocoder,0,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,12324.29412,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.83270717,-77.19774932,Exact
4318,7-Eleven Inc F 10794B,9402 Richmond Hwy,,Lorton,VA,22079,2125,FAIRFAX,6,USCGeocoder,0,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1182.252615,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.70231048,-77.20955153,Relaxed
4776,7-Eleven Inc F 10657A,1111 Elden St,,Herndon,VA,20170,5502,FAIRFAX,7,USCGeocoder,15.6263,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1302.679046,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.96487793,-77.39713492,Relaxed
4922,Centro Market,2930 Patrick Henry Dr,,Falls Church,VA,22044,2904,FAIRFAX,8,USCGeocoder,0,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,23985.14587,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.86988574,-77.14713264,Relaxed
4931,Lideta Market,1607 S Glebe Rd,,Arlington,VA,22204,4346,ARLINGTON,9,USCGeocoder,15.6188,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,498.6814071,ArealInterpolationGeometricCentroid,Parcel,95.32544379,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.89058507,-77.11900218,Relaxed
5939,Walmart SuperCenter 5936,1500 Conerside Blvd,,Vienna,VA,22182,,FAIRFAX,10,USCGeocoder,140.6311,1,4.1,,,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,30597137.76,ArealInterpolationGeometricCentroid,USPSZip,60,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,1,38.928478,-77.261486,Relaxed;Soundex
6699,Asni Inc,1045 S Edgewood St,,Arlington,VA,22204,4813,ARLINGTON,11,USCGeocoder,31.251,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2855.901023,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.86225757,-77.08618453,Exact
6878,Community Foodworks Huntington Farmers Market,5919 N Kings Hwy,,Alexandria,VA,22303,2013,FAIRFAX,12,USCGeocoder,46.875,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2276.551728,LinearInterpolationAddressRange,StreetSegment,98.99408284,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.78907025,-77.07641953,Relaxed
6906,Reston Town Center Exxon 20305,11808 Baron Cameron Ave,,Reston,VA,20190,3201,FAIRFAX,13,USCGeocoder,0,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,4623.649707,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.96698134,-77.35630754,Exact
7048,GIANT FOOD 763,359 Maple Ave E,,Vienna,VA,22180,4717,FAIRFAX,14,USCGeocoder,31.2503,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5492.740805,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.90623249,-77.25922554,Exact
7050,GIANT FOOD 780,3480 S Jefferson St,,Falls Church,VA,22041,3104,FAIRFAX,15,USCGeocoder,171.8738,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1233.438587,LinearInterpolationAddressRange,StreetSegment,98.99408284,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.8518339,-77.11935267,Relaxed
7051,GIANT FOOD 756,8320 Old Keene Mill Rd,,Springfield,VA,22152,1640,FAIRFAX,16,USCGeocoder,46.8766,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,8045.165319,LinearInterpolationAddressRange,StreetSegment,99.89940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.77998737,-77.23006583,Relaxed
7052,GIANT FOOD 745,13043 Lee Jackson Memorial Hwy,,Fairfax,VA,22033,2001,FAIRFAX,17,USCGeocoder,62.4906,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,6004.603033,LinearInterpolationAddressRange,StreetSegment,98.99408284,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.88071736,-77.39723148,Relaxed
7054,SAFEWAY  1283,8646 Richmond Hwy,,Alexandria,VA,22309,4205,FAIRFAX,18,USCGeocoder,15.6219,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3925.733993,LinearInterpolationAddressRange,StreetSegment,98.99408284,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.72258897,-77.12123886,Relaxed
7055,SAFEWAY  878,7900 Fort Hunt Rd,,Alexandria,VA,22308,1203,FAIRFAX,19,USCGeocoder,15.6294,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,7995.077903,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.74359758,-77.05752576,Relaxed
7056,SAFEWAY  4933,6244 Old Dominion Dr,,McLean,VA,22101,4217,FAIRFAX,20,USCGeocoder,46.8876,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,19844.0222,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.92002783,-77.15086693,Exact
7062,SAFEWAY  1285,6130 Rose Hill Dr,,Alexandria,VA,22310,1901,FAIRFAX,21,USCGeocoder,15.6246,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2343.938225,LinearInterpolationAddressRange,StreetSegment,98.99408284,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.7846013,-77.12096097,Relaxed
7064,SAFEWAY  1588,7414 Little River Tpke,,Annandale,VA,22003,3013,FAIRFAX,22,USCGeocoder,15.6305,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,7516.251115,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.83122901,-77.20039278,Exact
7066,FT BELVOIR COMMISSARY 2413,6050 Gorgas Rd,,Fort Belvoir,VA,22060,6206,FAIRFAX,23,USCGeocoder,15.6234,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1710.546811,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.7197926,-77.14583452,Exact
7070,Ft Myers Commissary 2518,523 Carpenter Rd,,Fort Myer,VA,22211,1000,ARLINGTON,24,USCGeocoder,156.2622,1,4.1,,,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,4533965.403,ArealInterpolationGeometricCentroid,USPSZip,60,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,1,38.886949,-77.078211,Relaxed;Soundex
7073,SAFEWAY  1304,7397 Lee Hwy,,Falls Church,VA,22042,1721,FAIRFAX,25,USCGeocoder,0,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,7840.914082,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.87522619,-77.19867125,Relaxed
7074,GIANT FOOD 231,2932 Chain Bridge Rd,,Oakton,VA,22124,3001,FAIRFAX,26,USCGeocoder,31.2531,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,6219.200087,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.88151308,-77.30009739,Exact
