Unnamed: 0,location_name,location_address,city,state,zip,location_type,geometry_USER,times,f_address,Match_addr,Longitude,Latitude,Addr_type,Score,Status,Region,RegionAbbr,Subregion,MetroArea,City,Nbrhd,geometry,Match_type,LongLabel,ShortLabel,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,District,Territory,Zone,Postal,PostalExt,Country,LangCode,Distance,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo
1,Safeway,3526 King St.,Alexandria,VA,22302,Supermarket/Grocery Store,"c(38.828974319445464, -77.08836588742717)",24 hours,"3526 King St., Alexandria, VA, 22302","3526 King St, Alexandria, Virginia, 22302",-77.08953845129548,38.82815731833925,PointAddress,100.0,M,Virginia,VA,Alexandria city,,Alexandria,,POINT (-77.08953845099995 38.82815731800008),A,"3526 King St, Alexandria, VA, 22302, USA",3526 King St,,,"3526 King St, Alexandria, Virginia, 22302",,,20.0,,3526,,,,,,,King,St,,,,,,,,,3526 King St,,,,,,22302,1907,USA,ENG,0.0,-77.08959,38.82808800000001,-77.09059,-77.08859,38.82708800000001,38.829088000000006,
2,Giant Food,3480 S Jefferson St.,Falls Curch,VA,22041,Supermarket/Grocery Store,"c(38.85175183579039, -77.11807872729332)",6am-12am,"3480 S Jefferson St., Falls Curch, VA, 22041","3480 S Jefferson St, Falls Church, Virginia, 22041",-77.11786662828169,38.849661659183965,PointAddress,98.56,M,Virginia,VA,Fairfax County,,Falls Church,,POINT (-77.11786662799994 38.84966165900005),A,"3480 S Jefferson St, Falls Church, VA, 22041, USA",3480 S Jefferson St,,,"3480 S Jefferson St, Falls Church, Virginia, 22041",,,20.0,,3480,,,,,S,,Jefferson,St,,,,,,,,,3480 S Jefferson St,,,,,,22041,3104,USA,ENG,0.0,-77.1184485,38.849778000000015,-77.1194485,-77.1174485,38.84877800000002,38.85077800000001,
3,Dominion Market,1201 S Courthouse Rd. ,Arlington,VA,22204,Supermarket/Grocery Store,"c(38.86530593942788, -77.07896270428708)",10am-10pm,"1201 S Courthouse Rd. , Arlington, VA, 22204","1201 S Courthouse Rd, Arlington, Virginia, 22204",-77.07981532465857,38.8621762692307,PointAddress,100.0,M,Virginia,VA,Arlington County,Washington DC Metro Area,Arlington,Columbia Heights,POINT (-77.07981532499997 38.86217626900003),A,"1201 S Courthouse Rd, Arlington, VA, 22204, USA",1201 S Courthouse Rd,,,"1201 S Courthouse Rd, Arlington, Virginia, 22204",,,20.0,,1201,,,,R,S,,Courthouse,Rd,,,,,,,,,1201 S Courthouse Rd,,,,,,22204,0812,USA,ENG,0.0,-77.079069,38.86228800000001,-77.081069,-77.07706900000001,38.860288000000004,38.86428800000001,
4,Safeway,5101 Wilson Blvd.,Arlington,VA,22205,Supermarket/Grocery Store,"c(38.88067512484957, -77.12325133942565)",6am-11pm,"5101 Wilson Blvd., Arlington, VA, 22205","5101 Wilson Blvd, Arlington, Virginia, 22205",-77.12345716195391,38.87764994007143,PointAddress,100.0,M,Virginia,VA,Arlington County,,Arlington,,POINT (-77.12345716199997 38.87764994000003),A,"5101 Wilson Blvd, Arlington, VA, 22205, USA",5101 Wilson Blvd,,,"5101 Wilson Blvd, Arlington, Virginia, 22205",,,20.0,,5101,,,,,,,Wilson,Blvd,,,,,,,,,5101 Wilson Blvd,,,,,,22205,1111,USA,ENG,0.0,-77.1235155,38.877876000000015,-77.1245155,-77.12251549999999,38.87687600000002,38.87887600000001,
5,Streets Market,2201 N Pershing Dr. ,Arlington,VA,22201,Supermarket/Grocery Store,"c(38.88348131284078, -77.08256759324752)",8am-10pm,"2201 N Pershing Dr. , Arlington, VA, 22201","2201 N Pershing Dr, Arlington, Virginia, 22201",-77.08506120788847,38.880901716919496,PointAddress,100.0,M,Virginia,VA,Arlington County,,Arlington,,POINT (-77.08506120799996 38.88090171700003),A,"2201 N Pershing Dr, Arlington, VA, 22201, USA",2201 N Pershing Dr,,,"2201 N Pershing Dr, Arlington, Virginia, 22201",,,20.0,,2201,,,,,N,,Pershing,Dr,,,,,,,,,2201 N Pershing Dr,,,,,,22201,1446,USA,ENG,0.0,-77.085126,38.88108,-77.08612600000001,-77.084126,38.88008,38.882079999999995,
6,Arlington Market,1144 N Stuart St.,Arlington,VA,22201,Supermarket/Grocery Store,"c(38.888158046536645, -77.11123504308611)",9am-10pm,"1144 N Stuart St., Arlington, VA, 22201","1144 N Stuart St, Arlington, Virginia, 22201",-77.112405,38.885463000000016,PointAddress,100.0,M,Virginia,VA,Arlington County,,Arlington,,POINT (-77.11240499999997 38.88546300000007),A,"1144 N Stuart St, Arlington, VA, 22201, USA",1144 N Stuart St,,,"1144 N Stuart St, Arlington, Virginia, 22201",,,20.0,,1144,,,,,N,,Stuart,St,,,,,,,,,1144 N Stuart St,,,,,,22201,4718,USA,ENG,0.0,-77.112405,38.885463000000016,-77.113405,-77.11140499999999,38.88446300000002,38.88646300000001,
7,Target,3101 Richmond Hwy. ,Alexandria,VA,22305,Supermarket/Grocery Store,"c(38.840590983323104, -77.0512525907164)",8am-10pm,"3101 Richmond Hwy. , Alexandria, VA, 22305","3101 Richmond Hwy, Alexandria, Virginia, 22305",-77.05124681906132,38.83362774412816,PointAddress,100.0,M,Virginia,VA,Alexandria city,,Alexandria,,POINT (-77.05124681899997 38.83362774400007),A,"3101 Richmond Hwy, Alexandria, VA, 22305, USA",3101 Richmond Hwy,,,"3101 Richmond Hwy, Alexandria, Virginia, 22305",,,20.0,,3101,,,,,,,Richmond,Hwy,,,,,,,,,3101 Richmond Hwy,,,,,,22305,3042,USA,ENG,0.0,-77.0500125,38.833901999999995,-77.0510125,-77.04901249999999,38.832902,38.83490199999999,
8,Target,5115 Leesburg Pike. ,Falls Curch,VA,22041,Supermarket/Grocery Store,"c(38.85012709570935, -77.11725756264066)",8am-10pm,"5115 Leesburg Pike. , Falls Curch, VA, 22041","5115 Leesburg Pike, Falls Church, Virginia, 22041",-77.11799113439854,38.84590936234149,PointAddress,98.55,M,Virginia,VA,Fairfax County,,Falls Church,,POINT (-77.11799113399996 38.84590936200004),A,"5115 Leesburg Pike, Falls Church, VA, 22041, USA",5115 Leesburg Pike,,,"5115 Leesburg Pike, Falls Church, Virginia, 22041",,,20.0,,5115,,,,,,,Leesburg,Pike,,,,,,,,,5115 Leesburg Pike,,,,,,22041,3290,USA,ENG,0.0,-77.118687,38.844494999999995,-77.119687,-77.11768699999999,38.843495,38.84549499999999,
9,Target,6100 Arlington Blvd. ,Falls Curch,VA,22044,Supermarket/Grocery Store,"c(38.87338501601381, -77.14232012357739)",7am-10pm,"6100 Arlington Blvd. , Falls Curch, VA, 22044","6100 Arlington Blvd, Falls Church, Virginia, 22044",-77.14292840515938,38.86735189047193,PointAddress,98.55,M,Virginia,VA,Fairfax County,,Falls Church,,POINT (-77.14292840499996 38.86735189000007),A,"6100 Arlington Blvd, Falls Church, VA, 22044, USA",6100 Arlington Blvd,,,"6100 Arlington Blvd, Falls Church, Virginia, 22044",,,20.0,,6100,,,,,,,Arlington,Blvd,,,,,,,,,6100 Arlington Blvd,,,,,,22044,2901,USA,ENG,0.0,-77.142312,38.868435000000005,-77.14331200000001,-77.141312,38.86743500000001,38.869435,
10,Target,1500 Wilson Blvd.,Rosslyn,VA,22209,Supermarket/Grocery Store,"c(38.9017119701138, -77.07502886407605)",7am-10pm,"1500 Wilson Blvd., Rosslyn, VA, 22209","1500 Wilson Blvd, Arlington, Virginia, 22209",-77.07451513113855,38.894693795429745,PointAddress,99.9,M,Virginia,VA,Arlington County,,Arlington,,POINT (-77.07451513099994 38.89469379500008),A,"1500 Wilson Blvd, Arlington, VA, 22209, USA",1500 Wilson Blvd,,,"1500 Wilson Blvd, Arlington, Virginia, 22209",,,20.0,,1500,,,,,,,Wilson,Blvd,,,,,,,,,1500 Wilson Blvd,,,,,,22209,2458,USA,ENG,0.0,-77.07449249999999,38.894498999999996,-77.0754925,-77.07349249999999,38.893499,38.895498999999994,
