GEOID,NAME,total_pop,nonlatine,nlwhite,nlblack,nlasian,latine,lwhite,lblack,lasian,tpop_nat,nat_nat,nat_noncit,medhhinc,medrent,total_pctincrent,pctincrent35_to_39.9,pctincrent40_to_49.9,pctincrent50_ormore,total_ipop,hh_inet,total_hh_poverty,hh_under_0.5_poverty,hh_0.5_to_0.99_poverty,hh_1_to_1.24_poverty,hh_1.25_to_1.49_poverty,hh_1.5_to_1.84_poverty,total_hh,pct_nlblack,pct_nlwhite,pct_nlasian,pct_latine,pct_lblack,pct_lwhite,pct_lasian,pct_185pov,pct_incrent35,pct_inetaccess,"comcolor <- ifelse(pct_nlwhite < 0.4, 1, 0)",pct_nonnat,pct_noncit,geometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51013100100,"Census Tract 1001, Arlington County, Virginia",5296,4713,4132,26,430,583,479,9,0,5296,493,82,203854,2400,90,6,0,25,1738,1660,5296,50,12,0,194,25,1756,0.004909366,0.78021148,0.081193353,0.110083082,0.001699396,0.090445619,0,0.050793051,0.344444444,0.955120829,0,0.108572508,0.015483384,list(list(c(-77.172276,-77.16811,-77.164208,-77.159681,-77.156003,-77.15424,-77.149174,-77.148507,-77.143991,-77.145855,-77.147392,-77.153245,-77.158981,-77.160754,-77.163058,-77.164473,-77.165093,-77.165947,-77.172192,-77.172276,38.893245,38.896521,38.899578,38.903147,38.900888,38.900735,38.901793,38.902122,38.894724,38.894145,38.893639,38.892098,38.88918,38.891575,38.889937,38.889878,38.889795,38.888287,38.893166, 38.893245))),,,,
51013100200,"Census Tract 1002, Arlington County, Virginia",6600,6141,5574,69,295,459,418,0,0,6600,409,70,233958,3000,150,0,0,0,2261,2173,6600,91,23,85,1,18,2261,0.010454545,0.844545455,0.04469697,0.069545455,0,0.063333333,0,0.029545455,0,0.961079169,0,0.072575758,0.010606061,list(list(c(-77.159681,-77.154539,-77.151977,-77.145809,-77.140814,-77.134282,-77.132702,-77.130769,-77.128716,-77.128435,-77.127142,-77.124911,-77.126275,-77.128105,-77.129979,-77.131379,-77.130521,-77.133642,-77.136963,-77.137658,-77.138842,-77.143991,-77.148507,-77.149174,-77.15424,-77.156003,-77.159681,38.903147,38.907173,38.909177,38.914006,38.91077,38.90896,38.907736,38.905299,38.904183,38.904033,38.903065,38.901233,38.900799,38.900986,38.900324,38.89845, 
51013100300,"Census Tract 1003, Arlington County, Virginia",6255,5794,5258,132,355,461,379,0,0,6255,338,273,231908,3501,79,19,16,0,2085,1996,5766,26,61,12,0,13,2131,0.021103118,0.840607514,0.056754596,0.073701039,0,0.060591527,0,0.008844953,0.443037975,0.957314149,0,0.097681855,0.043645084,list(list(c(-77.145809,-77.139427,-77.134495,-77.124875,-77.121179,-77.11979669,-77.119759,-77.1179,-77.11681626,-77.118505,-77.118762,-77.122654,-77.118968,-77.119049,-77.118474,-77.115103,-77.113423,-77.115423,-77.119529,-77.120097,-77.119141,-77.119363,-77.123305,-77.125055,-77.127142,-77.128435,-77.128716,-77.130769,-77.132702,-77.134282,-77.140814,-77.145809,38.914006,38.918982,38.922853,38.930408,38.933287,38.93437024,38.934343,38.932411, ,,,
51013100400,"Census Tract 1004, Arlington County, Virginia",3918,3632,3194,100,280,286,227,0,0,3918,341,251,250001,3501,87,0,0,11,1354,1314,3908,62,61,23,0,21,1375,0.025523226,0.815211843,0.071465033,0.072996427,0,0.057937723,0,0.027123849,0.126436782,0.970457903,0,0.151097499,0.064063298,list(list(c(-77.122654,-77.118762,-77.118505,-77.11681626,-77.1166,-77.1134,-77.10736051,-77.1063,-77.10540244,-77.1034,-77.1016446,-77.1012,-77.10101559,-77.0937,-77.0902,-77.08283921,-77.085908,-77.089008,-77.093219,-77.094616,-77.106458,-77.108516,-77.108156,-77.11017,-77.110943,-77.113423,-77.115103,-77.118474,-77.119049,-77.118968,-77.122654,38.925328,38.925652,38.928554,38.92949324,38.928911,38.925211,38.92002214, ,,,,,
51013100500,"Census Tract 1005, Arlington County, Virginia",4522,4338,3844,107,178,184,71,0,0,4522,296,178,242344,2850,241,5,59,9,1657,1619,4522,88,12,32,33,21,1723,0.023662096,0.850066342,0.039363114,0.04068996,0,0.015701017,0,0.038478549,0.302904564,0.977066989,0,0.104820876,0.039363114,list(list(c(-77.128105,-77.126275,-77.124911,-77.127142,-77.125055,-77.123305,-77.119363,-77.119141,-77.120097,-77.119529,-77.115423,-77.113423,-77.110943,-77.11017,-77.108156,-77.108516,-77.106458,-77.094616,-77.093219,-77.094283,-77.097679,-77.098833,-77.104077,-77.107291,-77.107766,-77.108361,-77.112238,-77.11424,-77.116506,-77.119477,-77.120998,-77.123559,-77.125897,-77.126192,-77.129979,-77.128105,38.900986,38.900799,38.901233,38.903065,38.905439,38.90556, ,
51013100600,"Census Tract 1006, Arlington County, Virginia",3467,2968,2435,135,182,499,356,0,0,3467,481,167,140982,1968,462,28,9,67,1284,1162,3253,77,101,117,0,31,1357,0.038938564,0.702336314,0.052494952,0.143928468,0,0.102682434,0,0.069166923,0.225108225,0.904984424,0,0.186905105,0.048168445,list(list(c(-77.11424,-77.112238,-77.108361,-77.107766,-77.107291,-77.104077,-77.098833,-77.101282,-77.102235,-77.103664,-77.108314,-77.111287,-77.114321,-77.114692,-77.114014,-77.115317,-77.11424,38.899337,38.898945,38.896953,38.896766,38.896639,38.895902,38.896011,38.892229,38.891361,38.890677,38.889532,38.888804,38.88808,38.89355,38.897122,38.897582, 38.899337))),,,,,,,,,,
51013100700,"Census Tract 1007, Arlington County, Virginia",5831,5036,4214,101,617,795,399,0,0,5831,551,750,147695,1855,944,23,37,265,2387,2198,5810,241,391,128,175,192,2434,0.017321214,0.722689076,0.105813754,0.13634025,0,0.068427371,0,0.126678141,0.344279661,0.920821114,0,0.223117819,0.128622878,list(list(c(-77.12736,-77.124807,-77.124619,-77.124979,-77.125279,-77.126429,-77.123884,-77.121595,-77.124071,-77.127412,-77.126192,-77.125897,-77.123559,-77.120998,-77.119477,-77.116506,-77.11424,-77.115317,-77.114014,-77.114692,-77.114321,-77.115695,-77.117657,-77.11869,-77.120554,-77.123455,-77.124824,-77.125438,-77.127293,-77.127985,-77.12736,38.88501,38.885146,38.885548,38.887058,38.888239,38.890007,38.891712,38.890993,38.893306,38.896372,38.896601,38.89669, 
51013100800,"Census Tract 1008, Arlington County, Virginia",1617,1441,669,544,153,176,145,14,0,1617,147,153,111406,1718,178,0,16,54,556,502,1617,58,36,144,56,47,580,0.336425479,0.413729128,0.094619666,0.108843537,0.008658009,0.089672233,0,0.188620903,0.393258427,0.902877698,0,0.185528757,0.094619666,list(list(c(-77.133642,-77.130521,-77.131379,-77.129979,-77.126192,-77.127412,-77.124071,-77.121595,-77.123884,-77.126429,-77.128233,-77.130109,-77.13233,-77.133436,-77.133642,38.896322,38.896331,38.89845,38.900324,38.896601,38.896372,38.893306,38.890993,38.891712,38.890007,38.892751,38.89197,38.89475,38.895694, 38.896322))),,,,,,,,,,,,,,
51013100900,"Census Tract 1009, Arlington County, Virginia",4195,3892,3194,243,312,303,177,17,0,4195,290,133,156875,1183,429,0,21,85,1647,1563,4195,77,84,32,17,20,1658,0.057926103,0.761382598,0.074374255,0.072228844,0.004052443,0.042193087,0,0.034803337,0.247086247,0.948998179,0,0.100834327,0.03170441,list(list(c(-77.137249,-77.137483,-77.138171,-77.135584,-77.136682,-77.137611,-77.138842,-77.137658,-77.136963,-77.133642,-77.133436,-77.13233,-77.130109,-77.128233,-77.126429,-77.125279,-77.124979,-77.124619,-77.124807,-77.12736,-77.127985,-77.127293,-77.125438,-77.126153,-77.127907,-77.132501,-77.136785,-77.139132,-77.137249,38.884849,38.885876,38.887595,38.891494,38.893405,38.893109,38.896057,38.896261,38.896308,38.896322,38.895694,38.89475,38.89197,38.892751, 
51013101000,"Census Tract 1010, Arlington County, Virginia",3308,2997,2552,207,99,311,227,0,0,3308,374,200,162083,1638,406,53,0,117,1271,1189,3308,11,36,124,11,49,1313,0.062575574,0.77146312,0.029927449,0.09401451,0,0.068621524,0,0.058948005,0.418719212,0.935483871,0,0.173518742,0.060459492,list(list(c(-77.146097,-77.144161,-77.145159,-77.144274,-77.144889,-77.145855,-77.143991,-77.138842,-77.137611,-77.136682,-77.135584,-77.138171,-77.137483,-77.137249,-77.139132,-77.144596,-77.146097,38.882205,38.886536,38.886883,38.888433,38.890323,38.894145,38.894724,38.896057,38.893109,38.893405,38.891494,38.887595,38.885876,38.884849,38.879875,38.881706, 38.882205))),,,,,,,,,,
51013101100,"Census Tract 1011, Arlington County, Virginia",5934,5678,4930,155,385,256,181,0,0,5934,560,95,187308,2989,590,45,0,31,2270,2224,5934,168,46,19,20,80,2309,0.026120661,0.830805527,0.064880351,0.04314122,0,0.030502191,0,0.048365352,0.128813559,0.979735683,0,0.110380856,0.016009437,list(list(c(-77.165093,-77.164473,-77.163058,-77.160754,-77.158981,-77.153245,-77.147392,-77.145855,-77.144889,-77.144274,-77.145159,-77.144161,-77.146097,-77.145482,-77.14713,-77.149701,-77.15395,-77.159213,-77.163517,-77.165947,-77.165093,38.889795,38.889878,38.889937,38.891575,38.88918,38.892098,38.893639,38.894145,38.890323,38.888433,38.886883,38.886536,38.882205,38.87722,38.873606,38.87567,38.878935,38.883035,38.886391,38.888287, 38.889795))),,
